date,season,competition,round,opponent,home_away,stadium,maccabi_score,opponent_score,maccabi_coach,opponent_coach,referee,crowd,maccabi_scorers,opponent_scorers,raw_home_team,raw_away_team,page,maccabi_scorers_parsed,opponent_scorers_parsed
12-04-1947,1946/47,ליגת ההתאחדות,,הפועל חיפה,בית,,2,0,,,,,"יוסף מרימוביץ', אהרון סיד י",,"מכבי ת""א",הפועל חיפה,150,"[{""name"": ""יוסף מרימוביץ"", ""minute"": null}, {""name"": ""אהרון סיד י"", ""minute"": null}]",[]
26-04-1947,1946/47,ליגת ההתאחדות,,מכבי נתניה,בית,,5,2,,,,,"שמואל פרלמן )43ע(, אהרון סידי ,38) ,(67 יוסף מרימוביץ ,(53) צבי",סטודינסקי (58),"מכבי ת""א",מכבי נתניה,150,"[{""name"": ""שמואל רלמן"", ""minute"": null}, {""name"": ""אהרון סידי"", ""minute"": null}, {""name"": ""יוסף מרימוביץ"", ""minute"": null}]","[{""name"": ""צבי סטודינסקי"", ""minute"": 58}]"
10-05-1947,1946/47,ליגת ההתאחדות,,"הפועל פ""ת",חוץ,,3,0,,,,,")טכני( יהושע גלזר ,(10) לודוויג גרובר )56ע(, אברהם טוריקה )?פ(, יוסף","עמיחי שוהם ,?) ? (","הפועל פ""ת","מכבי ת""א",150,"[{""name"": ""טכני יהוש גלזר"", ""minute"": null}, {""name"": ""לודוויג גרובר"", ""minute"": null}, {""name"": ""אברהם טוריקה"", ""minute"": null}]","[{""name"": ""מיחי שוהם"", ""minute"": null}]"
17-05-1947,1946/47,ליגת ההתאחדות,,מכבי נס ציונה,בית,,6,2,,,,,"יוסף מרימוביץ' ,30) ,49 ,(87 אהרון סידי ,(32) צבי סטודינסקי ,(43)",יוסי גורפינקל 85) 498(,"מכבי ת""א",מכבי נס ציונה,150,"[{""name"": ""יוסף מרימוביץ"", ""minute"": null}, {""name"": ""אהרון סידי"", ""minute"": null}, {""name"": ""צבי סטודינסקי"", ""minute"": null}]","[{""name"": ""יוסי גור ינקל"", ""minute"": 85}]"
31-05-1947,1946/47,ליגת ההתאחדות,,"בית""ר ת""א",חוץ,,1,2,,,,,יונה פוקס (20),"אברהם בוגדנוב ,(47) נתן פ נץ (86)","בית""ר ת""א","מכבי ת""א",151,"[{""name"": ""יונה וקס"", ""minute"": 20}]","[{""name"": ""אברהם בוגדנוב"", ""minute"": null}, {""name"": ""נתן פנץ"", ""minute"": 86}]"
21-06-1947,1946/47,ליגת ההתאחדות,,מכבי רחובות,חוץ,,4,1,,,,,"יהושע גלזר ,4) ,(70 צבי סטודינסקי ,(27) אליה שולר (70)",? )74ע (,מכבי רחובות,"מכבי ת""א",152,"[{""name"": ""שייע גלזר"", ""minute"": null}, {""name"": ""צבי סטודינסקי"", ""minute"": null}, {""name"": ""אליה שולר"", ""minute"": 70}]",[]
06-09-1947,1946/47,ליגת ההתאחדות,,הפועל רחובות,חוץ,,9,0,,,,,"הקיצוני השמאלי ,(8) ישראל בן-דרור (75)","יוסף מרימוביץ' ,[3] יהושע גלזר ,[3] חיים גלזר, 507?",הפועל רחובות,"מכבי ת""א",152,"[{""name"": ""ישראל בן-דרור"", ""minute"": 75}]","[{""name"": ""יוסף מרימוביץ"", ""minute"": null}, {""name"": ""שייע גלזר"", ""minute"": null}, {""name"": ""חיים גלזר"", ""minute"": null}]"
13-09-1947,1946/47,ליגת ההתאחדות,,"הפועל ת""א",בית,,3,0,,,,,"יוסי גורפינקל ,5) ,(78 יהושע גלזר 70) 508(",,"מכבי ת""א","הפועל ת""א",152,"[{""name"": ""יוסי גור ינקל"", ""minute"": null}, {""name"": ""שייע גלזר"", ""minute"": 70}]",[]
27-09-1947,1946/47,ליגת ההתאחדות,,"הפועל ראשל""צ",חוץ,,5,3,,,,,"חיים גלזר, יהושע גלזר, אברהם טוריקה, יונה פוקס, ?","בולי הוכבנברג ר, דניאל זילברמן, ג ד","הפועל ראשל""צ","מכבי ת""א",152,"[{""name"": ""חיים גלזר"", ""minute"": null}, {""name"": ""שייע גלזר"", ""minute"": null}, {""name"": ""אברהם טוריקה"", ""minute"": null}, {""name"": ""יונה וקס"", ""minute"": null}]","[{""name"": ""בולי הוכבנברג ר"", ""minute"": null}, {""name"": ""דניאל זילברמן"", ""minute"": null}, {""name"": ""ג ד"", ""minute"": null}]"
28-12-1946,1946/47,ליגה ב',,"בית""ר ת""א מילואים",בית,,3,1,,,,,,,"מכבי ת""א מילואים","בית""ר ת""א מילואים",160,[],[]
15-11-1947,1947/48,ליגת ההתאחדות,,מכבי רחובות,בית,,5,1,,,,,"אהרון סידי ,9) ,(40 אלי פוקס ,60) ,(76 יהושע גלזר (62)",צבי שוסיוב (11),"מכבי ת""א",מכבי רחובות,162,"[{""name"": ""אהרון סידי"", ""minute"": null}, {""name"": ""אלי פוקס"", ""minute"": null}, {""name"": ""שייע גלזר"", ""minute"": 62}]","[{""name"": ""צבי שוסיוב"", ""minute"": 11}]"
22-11-1947,1947/48,ליגת ההתאחדות,,הפועל הצפון,חוץ,,6,0,,,,,סטודינסקי (80),"אהרון סידי ,5) ,(41 שמואל ,(15) יהושע גלזר ,63) ,(88 צבי",הפועל הצפון,"מכבי ת""א",163,"[{""name"": ""צבי סטודינסקי"", ""minute"": 80}]","[{""name"": ""אהרון סידי"", ""minute"": null}, {""name"": ""שמואל"", ""minute"": null}, {""name"": ""שייע גלזר"", ""minute"": null}]"
29-11-1947,1947/48,ליגת ההתאחדות,,"הפועל ראשל""צ",בית,,8,0,,,,,"אהרון סידי ,(20) יהושע גלזר ,(28)78 יונה פוקס ,32) ,75 ,(83 צבי","סטודינסקי ,(46) אלי פוקס (65)","מכבי ת""א","הפועל ראשל""צ",164,"[{""name"": ""אהרון סידי"", ""minute"": null}, {""name"": ""שייע גלזר"", ""minute"": null}]","[{""name"": ""צבי סטודינסקי"", ""minute"": null}, {""name"": ""אלי פוקס"", ""minute"": 65}]"
13-12-1947,1947/48,ליגת ההתאחדות,,"הפועל פ""ת",בית,,2,1,,,,,דב שונשיין 41) 536(,"יהושע גלזר ,48) 58 537(","מכבי ת""א","הפועל פ""ת",164,[],"[{""name"": ""שייע גלזר"", ""minute"": null}]"
03-01-1948,1947/48,ליגת ההתאחדות,,"מכבי פ""ת",חוץ,,5,2,,,,,"אליעזר שפיגל ,(18) שמואל בן -דרור )04פ (","יהושע גלזר ,8) ,10 ,35 ,74 79 540(","מכבי פ""ת","מכבי ת""א",165,"[{""name"": ""אליעזר שפיגל"", ""minute"": null}]","[{""name"": ""שייע גלזר"", ""minute"": null}]"
13-03-1948,1947/48,ליגה ב',,"הפועל פ""ת",בית,,6,1,,,,,"אהרון סידי ,(19) שמואל ישראלי ,25) ,(68 יהושע גלזר ,(42) יוסף","מרימוביץ' ,65) 87 (","מכבי ת""א","הפועל פ""ת",170,"[{""name"": ""אהרון סידי"", ""minute"": null}, {""name"": ""שייע גלזר"", ""minute"": null}]","[{""name"": ""מרימוביץ"", ""minute"": null}]"
10-04-1948,1947/48,ליגה ב',,"מכבי פ""ת",בית,,5,0,,,,,"נתן פנץ ,(9) יוסף מרימוביץ' ,11) ,39 ,(43 אהרון סידי (89)",,"מכבי ת""א","מכבי פ""ת",170,"[{""name"": ""נתן פנץ"", ""minute"": null}, {""name"": ""יוסף מרימוביץ"", ""minute"": null}, {""name"": ""אהרון סידי"", ""minute"": 89}]",[]
17-04-1948,1947/48,ליגה ב',,"הפועל ת""א",חוץ,,1,1,,,,,נתן פנץ (29),נפתלי שוולב (14),"הפועל ת""א","מכבי ת""א",170,"[{""name"": ""נתן פנץ"", ""minute"": 29}]","[{""name"": ""נ תלי שוולב"", ""minute"": 14}]"
